,Startup Name,Founding Date,City,Industry/Vertical,Sub-Vertical,Founders,Investors,Amount(in USD),Investment Stage
16,Zouk,2016,Mumbai,Fashion and lifestyle,100% Vegan bags from India.,Disha Singh,Titan Capital,Undisclosed,Seed
17,MPL,2018,Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners","$5,000,000",
18,GrowFix,2020,Bangalore,FinTech,Building high-yield Debt assets for retail investors,"Ajinkya Kulkarni, Abhik Patel","Zerodha's Rainmatter Capital, Better Capital","$2,000,000",Seed
19,Bombay Shaving Company,2016,New Delhi,Fashion and lifestyle,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.","Deepu Panicker, Raunak Munot, Rohit Jaiswal, Shantanu Deshpande","Sixth Sense Ventures, Colgate Palmolive","$6,000,000",
20,Dunzo,2015,Bangalore,Delivery service,Dunzo is a hyper-local delivery app that connects users to the nearest delivery partner.,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha","Lightbox, Evolvence India Fund","$40,000,000",Series E
21,BeyondSkool,2020,Mumbai,EdTech,BeyondSkool is a live upskilling platform for kids,Payal Gaba,Tomorrow Capital,"$2,000,000",Seed
22,Mindler,2015,New Delhi,EdTech,Mindler is a career counseling company that provides career development guidance counseling services for students.,Prateek Bhargava,"Inflection Point Ventures, DLabs","$1,000,000",Pre-series A
23,Fashinza,2020,Gurgaon,B2B Manufacturing,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,"Abhishek Sharma, Pawan Gupta","Accel Partners, Elevation Capital","$2,600,000",Seed
24,BharatPe,2018,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital","$6,000,000",Debt
25,Turnip,2020,Bangalore,Gaming,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,"$1,600,000",Seed
26,Furlenco,2012,Bangalore,Home Decor,Furlenco is a subscription-based furniture rental platform that allows users to rent furniture on a monthly basis.,Ajith Karimpana,BlackSoil Capital,"$2,000,000",
27,Inficold,2015,New Delhi,Solar,Provide uninterrupted and affordable cooling for refrigeration,"Himanshu Pokharna, Nitin Goel",Shell Foundation,"$900,000",Pre-series A
28,KIWI,2020,New Delhi,TaaS startup,"A peer to peer support network, which would enable billions of users across the world","Imran Ladiwala, Mishu Ahluwalia","PointOne Capital, Core91 VC","$250,000",Seed
29,Digit Insurance,2016,Bangalore,FinTech,Digit Insurance is a financial services company that general insurance services.,Kamesh Goyal,"A91 Partners, Faering Capital",Undisclosed,
30,BharatPe,2018,New Delhi,FinTech,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital","$10,000,000",Debt
